A¥0,MES,T. Minima,T.Media,T.Maxima
2021,10,8,18,28
2020,10,5,17,27
2019,10,12,18,27
2018,10,10,18,26
2017,10,6,17,26
2016,10,9,17,26
2015,10,8,17,26
2014,10,7,17,27
2013,10,9,16,26
2012,10,5,17,27
2011,10,2,16,26
2010,10,4,16,27
2009,10,10,18,29
2008,10,4,16,26
2007,10,1,16,27
2006,10,4,17,27
2005,10,5,17,26
2004,10,10,17,27
2003,10,8,17,26
2002,10,9,17,25
2001,10,3,16,28
2000,10,5,16,26
1999,10,0,15,24
1998,10,7,16,25
1997,10,10,17,27
1996,10,4,16,27
1995,10,4,17,26
1994,10,7,17,26
1993,10,9,18,29
1992,10,0,16,25
1991,10,7,16,25
1990,10,8,17,27
2024,11,,,
2023,11,12,19,26
2022,11,9,18,26
2021,11,5,16,24
2020,11,4,16,26
2019,11,9,17,27
2018,11,4,16,26
2017,11,7,17,28
2016,11,5,15,25
2015,11,7,17,26
2014,11,3,16,26
2013,11,4,16,26
2012,11,5,15,25
2011,11,0,16,25
2010,11,-2,15,26
2009,11,6,15,25
2008,11,1,14,26
2007,11,3,15,24
2006,11,1,14,26
2005,11,3,15,25
2004,11,2,16,26
2003,11,2,16,26
2002,11,-2,14,24
2001,11,3,14,25
2000,11,6,16,27
1999,11,0,13,24
1998,11,4,16,26
1997,11,2,16,27
1996,11,0,14,26
1995,11,1,16,26
1994,11,6,16,27
1993,11,6,17,27
1992,11,0,15,25
1991,11,5,15,26
1990,11,2,16,27
2024,12,,,
2023,12,11,16,21
2022,12,7,15,22
2021,12,4,16,26
2020,12,3,16,25
2019,12,4,15,25
2018,12,1,15,25
2017,12,-1,14,25
2016,12,5,16,26
2015,12,7,16,27
2014,12,6,15,24
2013,12,5,15,25
2012,12,4,15,27
2011,12,3,15,26
2010,12,0,13,24
2009,12,3,15,26
2008,12,2,14,26
2007,12,0,15,25
2006,12,0,14,24
2005,12,2,14,25
2004,12,1,14,24
2003,12,0,12,24
2002,12,2,14,26
2001,12,3,14,25
2000,12,1,13,24
1999,12,0,12,24
1998,12,2,14,25
1997,12,3,16,26
1996,12,3,14,24
1995,12,4,15,26
1994,12,4,15,24
1993,12,2,14,26
1992,12,0,15,25
1991,12,3,15,26
1990,12,1,14,25
